"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,330395,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-PN-HRRP,43,,1.0571,16.8439,15.9346,11,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-HF-HRRP,61,,1.0262,21.5214,20.9712,15,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
WOODHULL MEDICAL & MENTAL HEALTH CENTER,330396,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-PN-HRRP,58,,1.0011,18.8338,18.8134,11,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-HF-HRRP,70,,1.0624,22.3041,20.9947,20,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-COPD-HRRP,N/A,,1.0030,23.6501,23.5800,Too Few to Report,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST BARNABAS HOSPITAL,330399,NY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-PN-HRRP,359,,0.8970,15.1516,16.8914,47,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-HIP-KNEE-HRRP,N/A,,0.8915,4.6048,5.1654,Too Few to Report,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-HF-HRRP,445,,0.9302,18.4489,19.8335,77,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-COPD-HRRP,246,,1.0190,20.6466,20.2610,52,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,330401,NY,READM-30-AMI-HRRP,N/A,,0.8985,12.6928,14.1271,Too Few to Report,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN HAYES HOSPITAL,330405,NY,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,330406,NY,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNITY SPECIALTY HOSPITAL,330411,NY,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-PN-HRRP,753,,0.9604,15.3667,16.0000,113,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-HIP-KNEE-HRRP,N/A,,0.8715,4.4818,5.1429,Too Few to Report,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-HF-HRRP,768,,0.9945,19.3208,19.4270,148,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-COPD-HRRP,225,,0.9629,17.0161,17.6710,36,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-CABG-HRRP,N/A,,0.9590,9.6474,10.0600,Too Few to Report,07/01/2020,06/30/2023
CAROLINAS MEDICAL CENTER-NORTHEAST,340001,NC,READM-30-AMI-HRRP,275,,0.9911,11.7873,11.8927,32,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-PN-HRRP,924,,0.8886,14.7072,16.5502,128,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-HIP-KNEE-HRRP,424,,0.8438,4.0493,4.7989,15,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-HF-HRRP,1270,,0.8608,17.3554,20.1609,210,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-COPD-HRRP,259,,0.9374,17.3590,18.5174,41,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-CABG-HRRP,454,,0.9299,10.6592,11.4628,46,07/01/2020,06/30/2023
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,NC,READM-30-AMI-HRRP,901,,0.7663,9.4577,12.3413,73,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-PN-HRRP,245,,0.8783,12.8289,14.6061,23,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-HF-HRRP,169,,1.0207,18.0996,17.7319,32,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-COPD-HRRP,N/A,,0.9576,13.4154,14.0096,Too Few to Report,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NORTHERN REGIONAL HOSPITAL,340003,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-PN-HRRP,165,,1.0160,16.9166,16.6494,29,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.0136,5.6882,5.6118,Too Few to Report,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-HF-HRRP,373,,0.9941,21.0251,21.1489,78,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-COPD-HRRP,113,,1.0765,20.6793,19.2104,28,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HIGH POINT REGIONAL HEALTH SYSTEM,340004,NC,READM-30-AMI-HRRP,132,,0.9802,13.6126,13.8874,17,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-PN-HRRP,165,,1.0929,16.9495,15.5083,34,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-HIP-KNEE-HRRP,N/A,,0.8718,3.9070,4.4816,Too Few to Report,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-HF-HRRP,222,,0.9966,19.4767,19.5424,43,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-COPD-HRRP,N/A,,0.9123,16.0690,17.6145,Too Few to Report,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SCOTLAND MEMORIAL HOSPITAL,340008,NC,READM-30-AMI-HRRP,N/A,,0.9923,16.8688,16.9991,Too Few to Report,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-PN-HRRP,369,,0.9585,15.4074,16.0739,54,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-HF-HRRP,403,,0.9067,18.8330,20.7712,69,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-COPD-HRRP,146,,1.0458,18.6593,17.8426,30,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNC HEALTH CARE WAYNE,340010,NC,READM-30-AMI-HRRP,109,,0.9209,14.7297,15.9943,12,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-PN-HRRP,122,,0.9366,15.9740,17.0560,15,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-HIP-KNEE-HRRP,N/A,,0.9872,4.1644,4.2184,Too Few to Report,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-HF-HRRP,109,,1.0127,19.3751,19.1324,22,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-COPD-HRRP,N/A,,0.9624,15.2551,15.8505,Too Few to Report,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-PN-HRRP,1126,,0.9354,15.6763,16.7593,172,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-HIP-KNEE-HRRP,973,,0.7219,3.4049,4.7166,29,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-HF-HRRP,838,,0.9920,19.8765,20.0366,166,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-COPD-HRRP,298,,0.9800,18.8760,19.2607,55,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-CABG-HRRP,146,,1.0312,10.2690,9.9585,16,07/01/2020,06/30/2023
NOVANT HEALTH FORSYTH MEDICAL CENTER,340014,NC,READM-30-AMI-HRRP,398,,0.9180,10.8008,11.7659,39,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-PN-HRRP,256,,1.0124,15.3032,15.1157,40,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.0588,5.0129,4.7346,Too Few to Report,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-HF-HRRP,213,,0.9673,17.9801,18.5874,36,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-COPD-HRRP,108,,1.0658,18.6071,17.4585,24,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
NOVANT HEALTH ROWAN MEDICAL CENTER,340015,NC,READM-30-AMI-HRRP,N/A,,0.9238,10.9530,11.8561,Too Few to Report,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-PN-HRRP,166,,0.9807,15.2376,15.5377,24,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.0673,4.5422,4.2557,Too Few to Report,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-HF-HRRP,85,,1.0781,20.8033,19.2961,23,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-COPD-HRRP,N/A,,0.9828,16.4353,16.7234,Too Few to Report,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HARRIS REGIONAL HOSPITAL,340016,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-PN-HRRP,245,,0.9111,14.3619,15.7631,29,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-HIP-KNEE-HRRP,492,,0.9099,3.9010,4.2873,18,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-HF-HRRP,281,,0.9106,17.2396,18.9313,42,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-COPD-HRRP,N/A,,0.8414,13.8961,16.5150,Too Few to Report,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,NC,READM-30-AMI-HRRP,159,,0.9570,11.9878,12.5261,17,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-PN-HRRP,117,,1.0619,17.8650,16.8235,25,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-HF-HRRP,169,,1.0797,20.4737,18.9620,40,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-COPD-HRRP,84,,1.0072,18.5245,18.3925,16,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CENTRAL CAROLINA HOSPITAL,340020,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-PN-HRRP,398,,0.9258,13.3275,14.3954,48,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.2322,5.0701,4.1148,Too Few to Report,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-HF-HRRP,432,,1.0025,18.4782,18.4319,80,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-COPD-HRRP,182,,0.9721,16.8713,17.3561,29,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ATRIUM HEALTH CLEVELAND,340021,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-PN-HRRP,184,,0.9383,13.6807,14.5806,21,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-HIP-KNEE-HRRP,N/A,,0.9019,3.7542,4.1625,Too Few to Report,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-HF-HRRP,136,,0.9422,16.9568,17.9964,19,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-COPD-HRRP,N/A,,0.9948,15.5421,15.6229,Too Few to Report,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ADVENTHEALTH HENDERSONVILLE,340023,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-PN-HRRP,152,,1.0785,16.3877,15.1955,30,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-HF-HRRP,109,,1.0701,20.4070,19.0697,27,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-COPD-HRRP,52,,1.0332,17.2897,16.7344,11,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-PN-HRRP,281,,0.9967,16.4502,16.5046,46,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-HF-HRRP,349,,1.0292,20.0458,19.4769,72,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-COPD-HRRP,85,,0.9872,17.3974,17.6227,14,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
UNC LENOIR HEALTH CARE,340027,NC,READM-30-AMI-HRRP,N/A,,0.9780,14.4602,14.7849,Too Few to Report,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-PN-HRRP,688,,1.0701,18.3610,17.1579,131,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.2357,6.2032,5.0201,Too Few to Report,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-HF-HRRP,831,,1.0740,22.6009,21.0443,193,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-COPD-HRRP,327,,1.0918,21.2317,19.4464,75,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-CABG-HRRP,N/A,,0.9345,10.1321,10.8423,Too Few to Report,07/01/2020,06/30/2023
CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,READM-30-AMI-HRRP,266,,1.0744,14.4851,13.4822,42,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-PN-HRRP,438,,0.8820,15.4113,17.4739,59,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-HIP-KNEE-HRRP,N/A,,0.7523,4.0262,5.3519,Too Few to Report,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-HF-HRRP,865,,0.8991,18.9015,21.0221,156,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-COPD-HRRP,171,,0.9812,17.6391,17.9763,29,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-CABG-HRRP,294,,0.9672,10.9198,11.2905,31,07/01/2020,06/30/2023
DUKE UNIVERSITY HOSPITAL,340030,NC,READM-30-AMI-HRRP,411,,0.9414,13.8439,14.7060,54,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-PN-HRRP,602,,1.0626,17.4172,16.3908,109,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.0083,5.7438,5.6964,Too Few to Report,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-HF-HRRP,794,,1.0263,20.6739,20.1450,166,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-COPD-HRRP,205,,1.0543,20.3459,19.2977,45,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-CABG-HRRP,105,,1.0018,10.4206,10.4021,11,07/01/2020,06/30/2023
CAROMONT REGIONAL MEDICAL CENTER,340032,NC,READM-30-AMI-HRRP,248,,1.0712,14.0020,13.0708,38,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-PN-HRRP,430,,0.9993,16.2896,16.3004,70,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.1718,4.2795,3.6522,Too Few to Report,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-HF-HRRP,242,,1.0225,19.6050,19.1737,49,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-COPD-HRRP,121,,0.9744,18.6786,19.1689,21,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
IREDELL MEMORIAL HOSPITAL INC,340039,NC,READM-30-AMI-HRRP,N/A,,0.9900,13.0339,13.1653,Too Few to Report,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-PN-HRRP,633,,1.0478,16.7183,15.9556,109,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-HIP-KNEE-HRRP,194,,1.3562,6.7269,4.9599,17,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-HF-HRRP,1525,,1.0859,21.3858,19.6940,332,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-COPD-HRRP,348,,0.9850,18.6607,18.9456,64,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-CABG-HRRP,388,,0.9982,10.8401,10.8597,42,07/01/2020,06/30/2023
ECU HEALTH MEDICAL CENTER,340040,NC,READM-30-AMI-HRRP,943,,0.9890,13.3113,13.4590,125,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-PN-HRRP,143,,1.0299,16.7819,16.2951,26,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-HIP-KNEE-HRRP,N/A,,1.0090,4.1798,4.1426,Too Few to Report,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-HF-HRRP,103,,0.9187,18.3516,19.9753,13,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-COPD-HRRP,N/A,,0.9946,18.6717,18.7729,Too Few to Report,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALDWELL MEMORIAL HOSPITAL,340041,NC,READM-30-AMI-HRRP,N/A,,0.9648,13.0670,13.5438,Too Few to Report,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-PN-HRRP,248,,1.0746,16.2097,15.0850,45,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-HF-HRRP,215,,1.0211,18.4019,18.0223,41,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-COPD-HRRP,113,,0.9432,17.3446,18.3886,16,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ONSLOW MEMORIAL HOSPITAL,340042,NC,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
